No.,合否,学科
1001,合格,普通
1002,合格,グローバル
1003,合格,グローバル
1004,合格,普通
1005,合格,普通
1006,不合格,
1007,合格,普通
1008,合格,普通
1009,合格,普通
1010,合格,普通
1011,合格,普通
1012,合格,普通
1013,不合格,
1014,合格,普通
1015,合格,普通
1016,合格,普通
1017,不合格,
1018,不合格,
1019,合格,普通
1020,合格,普通
1021,合格,普通
1022,合格,グローバル
1023,合格,普通
1024,合格,普通
1025,不合格,
1026,合格,普通
1027,不合格,
1028,不合格,
1029,合格,普通
1030,合格,普通
1031,合格,普通
1032,合格,普通
1033,合格,普通
1034,合格,普通
1035,合格,普通
1036,不合格,
1037,不合格,
1038,合格,グローバル
1039,合格,グローバル
1040,不合格,
1041,合格,普通
1042,合格,普通
1043,合格,普通
1044,不合格,
1045,不合格,
1046,不合格,
1047,不合格,
1048,不合格,
1049,合格,グローバル
1050,不合格,
1051,不合格,
1052,不合格,
1053,不合格,
1054,不合格,
1055,合格,グローバル
1056,合格,普通
1057,合格,グローバル
1058,合格,普通
1059,合格,グローバル
1060,不合格,
1061,合格,グローバル
1062,合格,普通
1063,合格,グローバル
1064,合格,グローバル
1065,合格,普通
1066,合格,普通
1067,不合格,
1068,合格,普通
1069,合格,普通
1070,合格,普通
1071,合格,普通
1072,合格,普通
1073,合格,グローバル
1074,合格,普通
1075,合格,グローバル
1076,合格,普通
1077,合格,普通
1078,合格,普通
1079,不合格,
1080,不合格,
1081,合格,グローバル
1082,合格,グローバル
1083,合格,普通
1084,合格,グローバル
1085,不合格,
1086,合格,普通
1087,合格,グローバル
1088,不合格,
1089,合格,普通
1090,合格,普通
1091,合格,普通
1092,不合格,
1093,合格,普通
1094,不合格,
1095,合格,グローバル
1096,不合格,
1097,合格,普通
1098,合格,グローバル
1099,合格,グローバル
1100,合格,普通
1101,合格,グローバル
1102,不合格,
1103,合格,普通
1104,合格,普通
1105,合格,グローバル
1106,合格,普通
1107,合格,グローバル
1108,合格,普通
1109,合格,普通
1110,合格,普通
1111,合格,グローバル
1112,合格,普通
1113,合格,グローバル
1114,合格,普通
1115,合格,普通
1116,不合格,
1117,合格,普通
1118,合格,普通
1119,不合格,
1120,合格,グローバル
1121,合格,普通
1122,合格,普通
1123,不合格,
1124,合格,普通
1125,不合格,
1126,合格,普通
1127,合格,グローバル
1128,合格,普通
1129,不合格,
1130,合格,グローバル
1131,合格,普通
1132,合格,普通
1133,不合格,
1134,合格,普通
1135,合格,普通
1136,不合格,
1137,合格,グローバル
1138,合格,グローバル
1139,合格,普通
1140,合格,普通
1141,合格,グローバル
1142,不合格,
1143,合格,グローバル
1144,合格,グローバル
1145,不合格,
1146,合格,普通
1147,不合格,
1148,不合格,
1149,不合格,
1150,合格,普通
1151,不合格,
1152,合格,普通
1153,不合格,
1154,合格,グローバル
1155,合格,グローバル
1156,合格,グローバル
1157,合格,普通
1158,合格,グローバル
1159,合格,グローバル
1160,合格,普通
1161,不合格,
1162,合格,普通
1163,合格,普通
1164,合格,普通
1165,合格,グローバル
1166,合格,普通
1167,合格,グローバル
1168,不合格,
1169,合格,普通
1170,合格,普通
1171,不合格,
1172,不合格,
1173,合格,普通
1174,合格,グローバル
1175,不合格,
1176,合格,普通
1177,合格,普通
1178,合格,普通
1179,合格,グローバル
1180,合格,グローバル
1181,合格,グローバル
1182,合格,普通
1183,合格,普通
1184,合格,普通
1185,合格,普通
1186,合格,普通
1187,合格,普通
1188,合格,普通
1189,合格,普通
1190,合格,普通
1191,合格,普通
1192,不合格,
1193,合格,普通
1194,不合格,
1195,合格,普通
1196,合格,普通
1197,合格,普通
1198,合格,グローバル
1199,合格,普通
1200,合格,普通
1201,合格,普通
1202,合格,普通
1203,合格,普通
1204,不合格,
1205,合格,普通
1206,不合格,
1207,合格,グローバル
1208,合格,普通
1209,合格,普通
1210,合格,普通
1211,合格,普通
1212,合格,グローバル
1213,合格,普通
1214,合格,普通
1215,不合格,
1216,不合格,
1217,不合格,
1218,不合格,
1219,不合格,
1220,合格,普通
1221,合格,普通
1222,合格,グローバル
1223,合格,普通
1224,合格,普通
1225,合格,普通
1226,合格,普通
1227,合格,普通
1228,合格,普通
1229,不合格,
1230,不合格,
1231,合格,普通
1232,不合格,
1233,合格,普通
1234,不合格,
1235,合格,普通
1236,合格,普通
1237,不合格,
1238,不合格,
1239,合格,グローバル
1240,合格,グローバル
1241,合格,普通
1242,不合格,
1243,不合格,
1244,合格,グローバル
1245,合格,普通
1246,合格,普通
1247,合格,普通
1248,合格,普通
1249,合格,普通
1250,不合格,
1251,合格,普通
1252,合格,普通
1253,合格,普通
1254,合格,普通
1255,不合格,
1256,合格,普通
1257,不合格,
1258,合格,普通
1259,不合格,
1260,合格,グローバル
1261,合格,普通
1262,合格,普通
1263,不合格,
1264,合格,普通
1265,不合格,
1266,合格,普通
1267,合格,グローバル
1268,合格,普通
1269,合格,普通
1270,合格,普通
1271,合格,グローバル
1272,合格,普通
1273,合格,普通
1274,合格,普通
1275,合格,普通
1276,合格,普通
1277,不合格,
1278,合格,普通
1279,合格,普通
1280,合格,グローバル
1281,合格,普通
1282,合格,普通
1283,合格,普通
1284,不合格,
1285,合格,普通
1286,合格,普通
1287,合格,グローバル
1288,合格,グローバル
1289,合格,グローバル
1290,合格,普通
1291,合格,普通
1292,合格,普通
1293,合格,普通
1294,合格,普通
1295,合格,普通
1296,合格,普通
1297,不合格,
1298,合格,普通
1299,合格,普通
1300,合格,普通
1301,合格,普通
1302,合格,普通
1303,合格,普通
1304,合格,普通
1305,不合格,
1306,合格,普通
1307,合格,普通
1308,合格,グローバル
1309,合格,グローバル
1310,合格,普通
1311,合格,普通
1312,合格,普通
1313,合格,普通
1314,合格,普通
1315,合格,普通
1316,合格,普通
1317,合格,普通
1318,不合格,
1319,合格,グローバル
1320,合格,グローバル
1321,合格,普通
1322,合格,グローバル
1323,合格,グローバル
1324,合格,グローバル
1325,不合格,
1326,合格,グローバル
1327,不合格,
1328,合格,普通
1329,不合格,
1330,合格,普通
1331,合格,普通
1332,不合格,
1333,合格,普通
1334,合格,普通
1335,不合格,
1336,不合格,
1337,合格,普通
1338,合格,普通
1339,合格,普通
1340,不合格,
1341,合格,普通
1342,合格,普通
1343,合格,普通
1344,不合格,
1345,合格,普通
1346,合格,普通
1347,不合格,
1348,不合格,
1349,合格,普通
1350,不合格,
1351,合格,普通
1352,不合格,
1353,合格,普通
1354,合格,グローバル
1355,不合格,
1356,合格,普通
1357,不合格,
1358,合格,普通
1359,合格,普通
1360,合格,普通
1361,不合格,
1362,合格,普通
1363,合格,普通
1364,不合格,
1365,合格,普通
1366,合格,普通
1367,合格,普通
1368,合格,普通
1369,合格,普通
1370,合格,グローバル
1371,合格,普通
1372,不合格,
1373,不合格,
1374,合格,普通
1375,不合格,
1376,不合格,
1377,合格,普通
1378,不合格,
1379,不合格,
1380,不合格,
1381,合格,普通
1382,合格,普通
1383,合格,普通
1384,合格,普通
1385,合格,普通
1386,合格,グローバル
1387,合格,普通
1388,合格,普通
1389,合格,普通
1390,合格,普通
1391,合格,普通
1392,合格,普通
1393,合格,普通
1394,合格,グローバル
1395,合格,グローバル
1396,合格,普通
1397,不合格,
1398,合格,グローバル
1399,合格,グローバル
1400,合格,普通
1401,合格,普通
1402,合格,普通
1403,合格,普通
1404,合格,普通
1405,不合格,
1406,合格,普通
1407,合格,普通
1408,合格,グローバル
1409,合格,普通
1410,合格,グローバル
1411,合格,グローバル
1412,合格,普通
1413,合格,グローバル
1414,合格,普通
1415,合格,普通
1416,合格,普通
1417,合格,グローバル
1418,合格,普通
1419,合格,普通
1420,合格,普通
1421,不合格,
1422,合格,普通
